norad_id,cospar_id,sat_name,orbit_band,mass_kg,mass_class,platform_class,propulsion_class,propulsion_description,mission_type,mass_source,propulsion_source,mass_confidence,propulsion_confidence,mass_note,propulsion_note
41892,2016-078J,PEGASUS R/B,LEO_300_450,202.0,200_1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 202 kg,No propulsion info found across queried sources
41898,2016-081A,TANSAT,LEO_450_800,620.0,200_1000kg,Small/Medium,,No propulsion reported,EO,UCS,KeepTrack,High,Medium,UCS launch mass: 620.0 kg,KeepTrack motor: ?
41899,2016-081B,YIJIAN,LEO_450_800,50.0,50_200kg,Micro,,No propulsion reported,EO,UCS,KeepTrack,High,Medium,UCS launch mass: 50.0 kg,KeepTrack motor: ?
41900,2016-081C,SPARK 1,LEO_450_800,50.0,50_200kg,Micro,,No propulsion reported,EO,UCS,KeepTrack,High,Medium,UCS launch mass: 50.0 kg,KeepTrack motor: ?
41901,2016-081D,SPARK 2,LEO_450_800,50.0,50_200kg,Micro,,No propulsion reported,EO,UCS,KeepTrack,High,Medium,UCS launch mass: 50.0 kg,KeepTrack motor: ?
41914,2017-002B,JILIN-1-03,LEO_450_800,400.0,200_1000kg,Small/Medium,,No propulsion reported,EO,UCS,,High,Low,UCS launch mass: 400.0 kg,No propulsion info found across queried sources
41917,2017-003A,IRIDIUM 106,LEO_450_800,860.0,200_1000kg,Small/Medium,,No propulsion reported,COMM,UCS,KeepTrack,High,Medium,UCS launch mass: 860.0 kg; dry mass: 678.0 kg,KeepTrack motor: ?
41918,2017-003B,IRIDIUM 103,LEO_450_800,860.0,200_1000kg,Small/Medium,,No propulsion reported,COMM,UCS,KeepTrack,High,Medium,UCS launch mass: 860.0 kg; dry mass: 678.0 kg,KeepTrack motor: ?
41919,2017-003C,IRIDIUM 109,LEO_450_800,860.0,200_1000kg,Small/Medium,,No propulsion reported,COMM,UCS,KeepTrack,High,Medium,UCS launch mass: 860.0 kg; dry mass: 678.0 kg,KeepTrack motor: ?
41920,2017-003D,IRIDIUM 102,LEO_450_800,860.0,200_1000kg,Small/Medium,,No propulsion reported,COMM,UCS,KeepTrack,High,Medium,UCS launch mass: 860.0 kg; dry mass: 678.0 kg,KeepTrack motor: ?
