norad_id,sat_name,propulsion_class,behavior,net_da_km,max_da_km,max_di_deg,n_flagged,n_transitions,flag_rate,burn_freq_per_day,monotone_decay,triggers,mean_sma_km,sub_tags
64495,STARLINK-34364,Electric_EP,DragMakeup,-2.65,1.669,0.0003,1,45,0.022,0.048,False,da,6841.5,da_max=1.7km net=-2.7km
64617,STARLINK-34417,Electric_EP,PhasingManeuver,0.02,6.796,0.0013,3,45,0.067,0.143,False,da+de,6853.2,da_max=6.8km net=+0.0km; Δe
64668,STARLINK-34395,Electric_EP,Stationkeeping,-0.06,0.133,0.0017,2,45,0.044,0.095,False,de,6840.8,Δe
64685,STARLINK-34253,Electric_EP,DragMakeup,-4.06,2.983,0.0004,1,47,0.021,0.048,False,da,6841.0,da_max=3.0km net=-4.1km
64701,STARLINK-34576,Electric_EP,PhasingManeuver,-0.02,6.26,0.0018,3,53,0.057,0.143,False,da,6950.4,da_max=6.3km net=-0.0km
64702,STARLINK-34322,Electric_EP,DragMakeup,0.03,1.944,0.0012,4,39,0.103,0.19,False,da,6950.0,da_max=1.9km net=+0.0km
64703,STARLINK-34470,Electric_EP,DragMakeup,0.01,1.109,0.0024,1,51,0.02,0.048,False,da,6950.2,da_max=1.1km net=+0.0km
64704,STARLINK-34405,Electric_EP,PhasingManeuver,0.08,6.573,0.0007,3,41,0.073,0.143,False,da,6950.6,da_max=6.6km net=+0.1km
64706,STARLINK-34559,Electric_EP,DragMakeup,-0.06,5.26,0.0007,4,48,0.083,0.19,False,da,6950.1,da_max=5.3km net=-0.1km
64709,STARLINK-34499,Electric_EP,DragMakeup,0.05,4.495,0.0031,2,48,0.042,0.095,False,da+de,6950.0,da_max=4.5km net=+0.0km; Δe
64710,STARLINK-34447,Electric_EP,DragMakeup,-0.01,2.706,0.0004,2,48,0.042,0.095,False,da,6950.1,da_max=2.7km net=-0.0km
64712,STARLINK-34515,Electric_EP,DragMakeup,0.0,1.01,0.0003,1,52,0.019,0.048,False,da,6950.2,da_max=1.0km net=+0.0km
64716,STARLINK-34548,Electric_EP,DragMakeup,0.1,4.493,0.0012,2,52,0.038,0.095,False,da,6950.3,da_max=4.5km net=+0.1km
64718,STARLINK-34546,Electric_EP,PhasingManeuver,0.05,5.943,0.0016,2,52,0.038,0.095,False,da,6950.0,da_max=5.9km net=+0.1km
64721,STARLINK-34558,Electric_EP,DragMakeup,0.11,4.629,0.0009,2,53,0.038,0.095,False,da,6950.0,da_max=4.6km net=+0.1km
64733,STARLINK-34556,Electric_EP,DragMakeup,-2.54,1.338,0.0004,3,43,0.07,0.143,False,da,6841.2,da_max=1.3km net=-2.5km
64738,STARLINK-34597,Electric_EP,Stationkeeping,0.13,0.326,0.002,2,48,0.042,0.095,False,de,6853.3,Δe
64740,STARLINK-34208,Electric_EP,DragMakeup,-2.46,1.61,0.0015,1,52,0.019,0.048,False,da,6842.1,da_max=1.6km net=-2.5km
64755,STARLINK-33965,Electric_EP,DragMakeup,-2.63,1.239,0.0,1,48,0.021,0.048,False,da,6841.3,da_max=1.2km net=-2.6km
64759,STARLINK-34598,Electric_EP,PhasingManeuver,0.04,6.836,0.0011,2,42,0.048,0.095,False,da,6853.2,da_max=6.8km net=+0.0km
64763,STARLINK-34534,Electric_EP,OrbitLowering,-12.44,6.183,0.0009,4,51,0.078,0.19,False,da,6842.9,da_max=6.2km net=-12.4km
64764,STARLINK-34261,Electric_EP,DragMakeup,-0.11,3.645,0.0021,2,46,0.043,0.095,False,da,6841.0,da_max=3.6km net=-0.1km
64765,STARLINK-34566,Electric_EP,OrbitLowering,-12.53,4.25,0.0019,6,44,0.136,0.286,False,da,6844.8,da_max=4.2km net=-12.5km
64766,STARLINK-34645,Electric_EP,Stationkeeping,0.05,0.543,0.0016,2,46,0.043,0.095,False,de,6853.3,Δe
64767,STARLINK-34639,Electric_EP,OrbitLowering,-12.47,9.042,0.0013,2,53,0.038,0.095,False,da,6848.0,da_max=9.0km net=-12.5km
64769,STARLINK-34246,Electric_EP,OrbitLowering,-12.48,4.775,0.0007,3,53,0.057,0.143,False,da,6842.9,da_max=4.8km net=-12.5km
