sat_name,norad_id,obj_id,status,inc_shell,i_deg_mean,raan_plane,raan_deg_start,alt_shell,alt_km_start,alt_km_end,net_da_km,e_start,maneuver_class,dv_total_ms,n_large,型號,發射日期,物理尺寸,重量,通訊載荷,動力系統
STARLINK-32671,62209,1261032,Operational,43deg,42.891,8,327.46,operational,482.6,480.7,6.39,0.00078,mixed,18.9,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32742,62605,1261036,Operational,43deg,42.905,8,333.9,operational,483,485.6,0.64,0.00084,mixed,20.7,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32747,62600,1261030,Operational,43deg,42.915,8,334.57,operational,483.6,485.3,1.77,0.00027,mixed,20.4,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31857,59843,1261039,Operational,43deg,42.909,8,330.32,operational,484,483.2,5.56,0.00023,mixed,20.1,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-30881,58251,1261049,Operational,43deg,42.924,8,341.47,operational,484.2,480.9,1.66,0.00098,mixed,16.9,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-31555,59351,1261037,Operational,43deg,42.882,8,316.15,operational,484.3,486.9,4.18,0.00017,mixed,27,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31559,59358,1261034,Operational,43deg,42.882,8,315.97,operational,484.5,484.8,-2.97,0.001,mixed,17.7,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32667,62201,1261039,Operational,43deg,42.899,8,326.66,operational,485,480.9,4.48,0.00105,mixed,21.8,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32710,62604,1261038,Operational,43deg,42.909,8,333.85,operational,485.1,489.2,-4.32,0.00106,mixed,21.1,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32448,62206,1261039,Operational,43deg,42.896,8,326.69,operational,485.9,481.1,2.11,0.00111,mixed,26.6,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31903,59845,1261030,Operational,43deg,42.895,8,323.59,operational,486.1,489.3,1.15,0.00114,mixed,29.2,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32769,62602,1261018,Operational,43deg,42.917,8,334.15,operational,486.4,481.6,-5.65,0.00119,lowering,16.8,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31906,59842,1261032,Operational,43deg,42.909,8,330.8,operational,486.9,483.3,-1.27,0.00119,mixed,24.8,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32655,62202,1261040,Operational,43deg,42.907,8,327.22,operational,487,489.5,-6.11,0.00119,mixed,22.1,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32783,62606,1261026,Operational,43deg,42.917,8,334.18,operational,487.3,485.4,-6.5,0.00122,lowering,19.3,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31593,59350,1261029,Operational,43deg,42.883,8,315.67,operational,487.4,481.1,1.56,0.00117,phasing,25.3,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31416,59355,1261043,Operational,43deg,42.885,8,316.1,operational,487.5,489.3,-5.21,0.00057,mixed,29,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31422,59354,1261044,Operational,43deg,42.88,8,316.47,operational,487.5,484.5,-6.13,0.00053,lowering,20.4,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31895,59849,1261031,Operational,43deg,42.907,8,330.49,operational,487.5,486.8,-3.78,0.00125,mixed,22.7,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31552,59356,1261038,Operational,43deg,42.884,8,316.46,operational,487.7,484.8,-6.47,0.00056,mixed,20.3,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32647,62200,1261033,Operational,43deg,42.9,8,327.12,operational,487.7,481.7,-2.38,0.00059,mixed,18.5,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31851,59844,1261034,Operational,43deg,42.907,8,330.46,operational,488.3,483.6,-7.67,0.00128,mixed,21.9,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32778,62603,1261021,Operational,43deg,42.921,8,334.68,operational,489.2,488.7,-3.16,0.00127,mixed,17.7,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31561,59352,1261034,Operational,43deg,42.886,8,315.64,operational,489.4,487.6,-4.82,0.00122,mixed,24.6,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32430,62207,1261036,Operational,43deg,42.896,8,323.71,operational,489.7,482.6,-7.22,0.00119,phasing,31.1,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-35464,65881,1260955,Operational,53deg,53.242,1,44.66,operational,460.1,468.8,-2.45,0.00064,mixed,44.5,3,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-31772,59430,1261032,Operational,53deg,53.213,1,31.61,operational,470.8,481.7,9.68,0.00147,mixed,42.7,2,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-35418,65879,1261004,Operational,53deg,53.245,1,44.76,operational,470.8,481.5,9.7,0.00066,mixed,40.9,3,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-31700,59436,1261039,Operational,53deg,53.213,1,31.63,operational,471.7,479.6,7.28,0.00132,mixed,20.6,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31773,59429,1261032,Operational,53deg,53.218,1,33.64,operational,472.2,481,5.74,0.00121,phasing,45,2,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31706,59437,1261040,Operational,53deg,53.218,1,33.64,operational,473.4,481.2,-2.54,0.00105,mixed,42.9,4,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31613,59431,1261040,Operational,53deg,53.211,1,31.71,operational,473.6,470.2,6.64,0.00103,mixed,39.5,4,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-35462,65877,1260950,Operational,53deg,53.24,1,44.12,operational,473.8,475.2,-3.57,0.00109,mixed,32.5,2,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-31696,59435,1261030,Operational,53deg,53.212,1,31.69,operational,474,473.4,2.41,0.00099,mixed,28.3,1,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-34688,65875,1261006,Operational,53deg,53.239,1,44.68,operational,475.9,469.3,-10.67,0.00128,mixed,30.6,0,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-31580,59434,1261033,Operational,53deg,53.215,1,33.66,operational,476.1,474.5,5.66,0.0007,mixed,30.1,1,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31740,59433,1261040,Operational,53deg,53.22,1,33.61,operational,476.1,480.5,-6.04,0.00069,mixed,36.2,2,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-35445,65880,1261004,Operational,53deg,53.238,1,44.51,operational,476.5,472,-0.85,0.00067,mixed,26.1,1,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34438,65876,1261019,Operational,53deg,53.246,1,44.56,operational,477.3,472,2.63,0.00061,mixed,29.8,1,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35453,65878,1261009,Operational,53deg,53.245,1,44.61,operational,478.8,463.4,-19.66,0.00146,lowering,31.1,1,Starlink v2 Mini DTC,2024/1/15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
