norad_id,sat_name,t_from,t_to,dt_h,a_km,alt_km,e,i_deg,raan_deg,da_km,de,di_deg,draan_raw_deg,draan_res_deg,da_severity,score,flagged,flag_reason
49007,OBJECT E,2026-04-29 18:59:53.046816+00:00,2026-04-30 15:36:22.601376+00:00,20.61,6577.188,199.05,0.001101,97.273,200.4236,-25.169,9.9e-05,-0.0057,0.9767,-0.0022,large,25.169,True,da=-25.17km[large]
66914,OBJECT B,2026-01-13 21:13:53.807520+00:00,2026-01-14 13:59:33.943200+00:00,16.76,7140.776,762.64,0.006546,80.3993,90.5311,25.0414,-0.003408,0.0003,-0.7647,0.0122,large,25.0414,True,da=+25.04km[large] | de=-0.00341
66913,OBJECT A,2026-01-13 21:17:53.798208+00:00,2026-01-14 14:03:40.462272+00:00,16.76,7141.256,763.12,0.006331,80.4018,90.5629,25.0292,-0.003405,-0.0001,-0.7682,0.0084,large,25.0292,True,da=+25.03km[large] | de=-0.00340
66914,OBJECT B,2026-01-11 01:07:35.622048+00:00,2026-01-11 14:21:07.823808+00:00,13.23,7071.044,692.91,0.001547,80.3977,93.7491,24.9939,0.003441,0.0046,-0.6361,-0.0018,large,24.9939,True,da=+24.99km[large] | de=+0.00344
66914,OBJECT B,2026-01-12 00:16:21.310464+00:00,2026-01-12 20:13:00.655680+00:00,19.94,7096.034,717.9,0.004988,80.4022,92.6407,24.8835,0.003408,0.0029,-0.9448,-0.0002,large,24.8835,True,da=+24.88km[large] | de=+0.00341
49006,OBJECT D,2026-04-11 20:39:10.888416+00:00,2026-04-17 21:28:07.743648+00:00,144.82,6639.967,261.83,0.000823,97.2868,181.2959,-24.5694,0.000259,-0.0062,6.6476,-0.0168,large,24.5694,True,da=-24.57km[large]
49321,OBJECT G,2026-05-22 17:10:52.386240+00:00,2026-05-23 00:47:49.541856+00:00,7.62,6729.695,351.56,0.000502,97.3678,5.5597,1.2257,0.022611,-0.4874,1.2677,0.9427,small,24.37,True,da=+1.23km[small] | di=-0.4874deg | de=+0.02261 | dOmega_res=+0.943deg
66913,OBJECT A,2026-01-11 01:11:19.080960+00:00,2026-01-11 14:24:52.698816+00:00,13.23,7072.08,693.94,0.001559,80.4014,93.7733,23.9592,0.003289,0.0016,-0.6323,0.0017,large,23.9592,True,da=+23.96km[large] | de=+0.00329
66914,OBJECT B,2026-01-09 16:16:33.128544+00:00,2026-01-10 21:50:13.953408+00:00,29.56,7047.126,668.99,0.001797,80.3945,95.3444,23.9189,-0.000248,0.0032,-1.4369,-0.0012,large,23.9189,True,da=+23.92km[large]
53451,OBJECT H,2026-04-26 20:13:02.540928+00:00,2026-04-27 10:53:52.994976+00:00,14.68,6565.443,187.31,0.00116,97.5526,254.2726,-23.4739,1.6e-05,-0.0048,0.7276,-0.0006,large,23.4739,True,da=-23.47km[large]
