NORAD_ID,COSPAR_ID,NAME,MEAN_ALT_KM
18215,1987-062B,SL-14 R/B,618.7
18241,1987-052D,COSMOS 1860 FUEL CORE,939.4
18312,1987-068A,METEOR 2-16,953.6
18313,1987-068B,SL-14 R/B,955.8
18422,1987-088B,SL-14 R/B,619.7
18585,1987-098A,COSMOS 1898,783.7
18586,1987-098B,SL-8 R/B,771.2
18665,1987-101A,COSMOS 1900,714.5
18749,1988-001B,SL-14 R/B,619.0
18820,1988-005A,METEOR 2-17,951.1
18821,1988-005B,SL-14 R/B,952.6
18822,1988-006A,DMSP 5D-2 F9 (USA 29),802.9
18958,1988-020A,COSMOS 1933,518.6
18959,1988-020B,SL-14 R/B,618.6
18960,1988-021A,IRS 1A,910.8
18961,1988-021B,SL-3 R/B,898.5
19038,1988-029A,COSMOS 1937,778.5
19039,1988-029B,SL-8 R/B,765.8
19046,1988-032B,SL-3 R/B,512.7
19119,1988-039A,COSMOS 1943,846.9
19120,1988-039B,SL-16 R/B,833.8
19162,1988-019D,COSMOS 1932 FUEL CORE,957.1
19210,1988-050A,COSMOS 1953,486.5
19211,1988-050B,SL-14 R/B,619.5
19256,1988-053A,COSMOS 1954,782.3
19257,1988-053B,SL-8 R/B,769.2
19274,1988-056A,OKEAN 1,476.8
19275,1988-056B,SL-14 R/B,620.3
19460,1988-078A,USA 32,784.2
19467,1988-080A,FENGYUN 1A,888.8
19468,1988-080B,CZ-4 R/B,888.0
19531,1988-089A,NOAA 11,846.7
19573,1988-093A,COSMOS 1975,488.0
19574,1988-093B,SL-14 R/B,618.6
19649,1988-102A,COSMOS 1980,848.8
19650,1988-102B,SL-16 R/B,845.6
19769,1989-005A,COSMOS 1992,779.5
19770,1989-005B,SL-8 R/B,764.6
19851,1989-018A,METEOR 2-18,949.8
19852,1989-018B,SL-14 R/B,956.3
20322,1989-089A,COBE,882.1
20323,1989-089B,DELTA 1 R/B,730.6
20432,1990-004A,COSMOS 2056,784.7
20433,1990-004B,SL-8 R/B,773.9
20436,1990-005A,SPOT 2,656.3
20437,1990-005B,OSCAR 14 (UOSAT 3),788.1
20438,1990-005C,OSCAR 15 (UOSAT 4),793.2
20439,1990-005D,OSCAR 16 (PACSAT),785.9
20440,1990-005E,OSCAR 17 (DOVE),784.0
20441,1990-005F,OSCAR 18 (WEBERSAT),785.6
20442,1990-005G,OSCAR 19 (LUSAT),785.2
20443,1990-005H,ARIANE 40 R/B,766.0
20453,1990-008B,DELTA 2 R/B(1),399.5
20465,1990-010A,COSMOS 2058,538.9
20466,1990-010B,SL-14 R/B,625.2
20478,1990-013A,MOS 1B (MOMO 1B),914.7
20510,1990-018A,OKEAN 2,525.7
20511,1990-018B,SL-14 R/B,629.7
20547,1990-028B,USA 55,443.8
20560,1990-031A,USA 56,644.3
20561,1990-031B,USA 57,658.2
20562,1990-031C,USA 58,648.2
20563,1990-031D,ATLAS 28E R/B,635.8
20578,1990-036B,SL-8 R/B,983.0
20580,1990-037B,HST,483.7
20607,1990-043A,MACSAT 1 (M 1),652.1
20608,1990-043B,MACSAT 2 (M 2),634.8
20624,1990-046A,COSMOS 2082,850.0
20625,1990-046B,SL-16 R/B,849.4
20663,1990-055A,COSMOS 2084,556.4
20666,1990-055D,SL-6 R/B(2),562.7
20670,1990-057A,METEOR 2-19,953.8
20671,1990-057B,SL-14 R/B,954.3
20763,1990-074B,DELTA 2 R/B,689.5
20775,1990-078B,SL-8 R/B,606.3
20788,1990-081A,FENGYUN 1B,889.9
20791,1990-081D,CZ-4 R/B,925.1
20826,1990-086A,METEOR 2-20,955.3
20978,1990-105A,DMSP 5D-2 F10 (USA 68),765.3
21014,1990-111A,COSMOS 2112,784.6
21015,1990-111B,SL-8 R/B,774.7
21088,1991-006B,SL-8 R/B,979.9
21090,1991-007B,SL-8 R/B,982.9
21263,1991-032A,NOAA 12,809.8
21397,1991-039A,OKEAN 3,559.0
21398,1991-039B,SL-14 R/B,630.6
