t,d,lonP,lonS
2024-06-03 18:00:00+00:00,107.80563299506274,172.7816918417236,172.92758201841934
2024-06-04 00:00:00+00:00,84.9051447698417,172.80314015439615,172.91846852963494
2024-06-04 06:00:00+00:00,101.05503082554524,172.7990175891158,172.9357206109563
2024-06-04 12:00:00+00:00,122.40032731831678,172.7819511491747,172.94824229733183
2024-06-04 18:00:00+00:00,106.74694654913863,172.78196210608752,172.92640080102507
2024-06-05 00:00:00+00:00,84.09671060728058,172.8030246855393,172.9172597376113
2024-06-05 06:00:00+00:00,100.45412504601939,172.798807732638,172.9346801186341
2024-06-05 12:00:00+00:00,121.76072516698802,172.7822145935089,172.94764114254917
2024-06-05 18:00:00+00:00,105.84783532746295,172.78327033397397,172.926475664505
2024-06-06 00:00:00+00:00,83.47107017249729,172.80422969373262,172.9176183897281
2024-06-06 06:00:00+00:00,100.16281683259307,172.7995381276171,172.93499950000358
2024-06-06 12:00:00+00:00,121.22669691909094,172.78397682853046,172.94868129173415
2024-06-06 18:00:00+00:00,104.72930269516702,172.78590391769671,172.92757509111982
2024-06-07 00:00:00+00:00,82.6366307589875,172.80658762582664,172.9188467289746
2024-06-07 06:00:00+00:00,99.80375348611823,172.802101916315,172.93706698227595
2024-06-07 12:00:00+00:00,120.61475510903021,172.78700227749187,172.95087828427575
2024-06-07 18:00:00+00:00,103.79950295903414,172.78952215085945,172.92991653554304
2024-06-08 00:00:00+00:00,81.91891332116472,172.81010194089293,172.9213896951989
2024-06-08 06:00:00+00:00,99.5576877976604,172.80543111522223,172.94005850148108
2024-06-08 12:00:00+00:00,120.02404527591551,172.79075536617438,172.9538309272005
2024-06-08 18:00:00+00:00,102.73258913845177,172.79345722369573,172.9323971319588
2024-06-09 00:00:00+00:00,81.22405641425287,172.8136928163908,172.9240404045952
2024-06-09 06:00:00+00:00,99.27574292459481,172.8092369144726,172.9434715432419
2024-06-09 12:00:00+00:00,119.3504447942215,172.79491874871974,172.95708132718323
2024-06-09 18:00:00+00:00,101.7779476823589,172.7974052477981,172.93503114281958
2024-06-10 00:00:00+00:00,80.3528118375812,172.81757712944216,172.92674431235292
2024-06-10 06:00:00+00:00,98.77524779306172,172.81351065664995,172.94705818453946
2024-06-10 12:00:00+00:00,118.63601375878564,172.79948602540867,172.96067939913257
2024-06-10 18:00:00+00:00,100.55502157119126,172.80174906793354,172.93769939566283
2024-06-11 00:00:00+00:00,79.39142284070306,172.82167321012685,172.92953708356652
2024-06-11 06:00:00+00:00,98.1374168703441,172.81849269513486,172.9511634155196
2024-06-11 12:00:00+00:00,117.88889668641468,172.80392964769356,172.96410890546542
2024-06-11 18:00:00+00:00,99.49539511654224,172.80593320857872,172.94043094635242
2024-06-12 00:00:00+00:00,78.43295451227472,172.82547764591322,172.93204194165588
2024-06-12 06:00:00+00:00,97.6565922076298,172.82287066058086,172.9548799408476
2024-06-12 12:00:00+00:00,117.14155051742594,172.8081430395029,172.9673074475345
2024-06-12 18:00:00+00:00,98.33206895913597,172.80981521984597,172.94271733578444
2024-06-13 00:00:00+00:00,77.7657742354679,172.82950167429425,172.93516143166448
2024-06-13 06:00:00+00:00,97.37634640702674,172.827743510409,172.95936557554745
2024-06-13 12:00:00+00:00,116.59758488540886,172.8130368807241,172.9714622477893
2024-06-13 18:00:00+00:00,97.32880643239145,172.81382199551422,172.94534781215145
2024-06-14 00:00:00+00:00,76.91673472968488,172.83371463324028,172.93822264643694
2024-06-14 06:00:00+00:00,96.88529817175123,172.832911355742,172.96385622870974
2024-06-14 12:00:00+00:00,115.8267725875075,172.81814918524566,172.97552665663483
2024-06-14 18:00:00+00:00,96.23368922178335,172.81835090620552,172.94837577223404
2024-06-15 00:00:00+00:00,76.08688663120574,172.83831136285738,172.94169317282274
2024-06-15 06:00:00+00:00,96.20437186780975,172.83861726756936,172.96863203454672
2024-06-15 12:00:00+00:00,114.84908834708774,172.82384869365058,172.9798972979421
2024-06-15 18:00:00+00:00,95.03511346181148,172.823918203041,172.95230355863208
2024-06-16 00:00:00+00:00,75.12742393809803,172.84352981693905,172.9456087404398
2024-06-16 06:00:00+00:00,95.8560766450653,172.8444565734046,172.97399312391633
2024-06-16 12:00:00+00:00,114.16888420411273,172.83019580991856,172.98531907249344
2024-06-16 18:00:00+00:00,93.95371739309077,172.829977630759,172.95687942349866
2024-06-17 00:00:00+00:00,74.21787489644734,172.84986391017378,172.9507071736611
2024-06-17 06:00:00+00:00,95.31297055126443,172.851882113545,172.98067373481888
2024-06-17 12:00:00+00:00,113.29891833871987,172.83795936559903,172.99189905713615
2024-06-17 18:00:00+00:00,92.71830893306283,172.83728967982552,172.96249489675256
2024-06-18 00:00:00+00:00,73.43898021305439,172.85761084374622,172.95739553641624
2024-06-18 06:00:00+00:00,94.83067595210956,172.8609232347036,172.98905038566727
2024-06-18 12:00:00+00:00,112.59523788186684,172.84656597309942,172.99954815055673
2024-06-18 18:00:00+00:00,91.55842924314734,172.84599626087328,172.96961465894503
2024-06-19 00:00:00+00:00,72.79887672798013,172.8661282150569,172.96504260790272
2024-06-19 06:00:00+00:00,94.66247246394425,172.87032162186756,172.99820827035694
2024-06-19 12:00:00+00:00,111.8111646488372,172.85670919518475,173.00862416859871
2024-06-19 18:00:00+00:00,90.46469357728685,172.856025782914,172.9781422785121
2024-06-20 00:00:00+00:00,71.85236927576969,172.87657562396907,172.97420216487114
2024-06-20 06:00:00+00:00,93.93744021634804,172.8817745020067,173.00867728636808
2024-06-20 12:00:00+00:00,111.063307298331,172.8682260405007,173.01912275204973
2024-06-20 18:00:00+00:00,89.2522477675834,172.86768950320726,172.9881489629455
2024-06-21 00:00:00+00:00,70.90461683684265,172.88815954331488,172.9844957824065
2024-06-21 06:00:00+00:00,93.40204656303669,172.89402150403384,173.02018786602292
2024-06-21 12:00:00+00:00,110.20837652109944,172.88105281389687,173.03078539307296
